 INFO 23:50:37,645 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Blampy lance le sort Barbrûlé
 INFO 23:50:38,735 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Blampy: Invoque un(e) Bombe Immolante
 INFO 23:50:38,736 [AWT-EventQueue-0] (eXG:105) - Instanciation d'une nouvelle invocation avec un id de -1724034217589108
 INFO 23:50:38,736 [AWT-EventQueue-0] (faw:1405) - [_FL_] fightId=1568189063 Bombe Immolante breed : 3796 [-1724034217589108] isControlledByAI=true obstacleId : 6 join the fight at {Point3 : (-27, -26, 0)}
 INFO 23:50:38,742 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Bombe Immolante: Bombe immolante (Niv. 2)
 INFO 23:50:39,539 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Blampy: Poudre (+4 Niv.)
 INFO 23:50:39,541 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Blampy: Poudre (+5 Niv.)
 INFO 23:50:39,542 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Blampy: Poudre (+6 Niv.)
 INFO 23:50:39,544 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Craqueboule Magmatique: -168 PV (Feu)
 INFO 23:50:39,544 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Craqueboule Magmatique: -153 PV (Feu)
 INFO 23:50:39,546 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Bombe Immolante: Bombe immolante (Niv. 1)
 INFO 23:50:39,547 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Bombe Immolante: Bombe immolante (Niv. 3)
 INFO 23:50:39,548 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Blampy: 1 PM (Trainée de poudre)
 INFO 23:50:39,549 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Blampy lance le sort Bombe collante (Critiques)
 INFO 23:50:40,042 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Bombe Immolante: Bombe collante (Niv. 89)
 INFO 23:50:41,858 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Blampy lance le sort Balle plombante (Critiques)
 INFO 23:50:42,959 [AWT-EventQueue-0] (aPV:174) - [Information (combat)] Blampy: Invoque un(e) Bombe Paralysante
 INFO 23:50:42,960 [AWT-EventQueue-0] (eXG:105) - Instanciation d'une nouvelle invocation avec un id de -1724034217589035
